timestamp,fps,sim_ms,render_ms,grid,voxels,res,gl,skip
24869.09,0.1,7686.21,0.71,128,2097152,FULL,VK,1
24869.59,380.4,1.60,0.93,128,2097152,FULL,VK,1
24870.10,252.1,2.53,1.34,128,2097152,FULL,VK,1
24870.60,195.7,3.16,1.85,128,2097152,FULL,VK,1
24871.10,177.1,3.31,2.24,128,2097152,FULL,VK,1
24871.61,210.1,3.01,1.65,128,2097152,FULL,VK,1
24872.11,204.7,2.81,1.97,128,2097152,FULL,VK,1
24872.61,231.1,2.86,1.37,128,2097152,FULL,VK,1
24873.11,194.8,3.28,1.75,128,2097152,FULL,VK,1
24873.62,197.4,3.10,1.87,128,2097152,FULL,VK,1
24874.12,189.0,3.82,1.38,128,2097152,FULL,VK,1
24874.63,151.1,4.47,2.04,128,2097152,FULL,VK,1
24875.13,322.8,2.34,0.65,192,7077888,FULL,VK,1
24875.63,152.9,5.28,1.15,192,7077888,FULL,VK,1
24876.13,132.9,6.05,1.37,192,7077888,FULL,VK,1
24876.63,123.8,6.10,1.88,192,7077888,FULL,VK,1
24877.13,111.7,7.05,1.80,192,7077888,FULL,VK,1
24877.63,112.5,7.19,1.60,192,7077888,FULL,VK,1
24878.14,113.6,7.16,1.54,192,7077888,FULL,VK,1
24878.64,103.5,7.58,1.98,192,7077888,FULL,VK,1
24879.15,93.3,8.63,1.98,192,7077888,FULL,VK,1
24879.66,93.5,8.51,2.09,192,7077888,FULL,VK,1
24880.17,92.7,8.43,2.25,192,7077888,FULL,VK,1
24880.67,86.8,8.76,2.65,192,7077888,FULL,VK,1
24881.18,598.5,0.78,0.79,256,16777216,FULL,VK,1
24881.68,209.0,3.51,1.18,256,16777216,FULL,VK,1
24882.18,154.5,5.17,1.20,256,16777216,FULL,VK,1
24882.68,124.2,6.66,1.30,256,16777216,FULL,VK,1
24883.19,102.0,8.35,1.35,256,16777216,FULL,VK,1
24883.69,83.1,10.20,1.72,256,16777216,FULL,VK,1
24884.20,86.2,9.89,1.61,256,16777216,FULL,VK,1
24884.71,85.8,9.66,1.90,256,16777216,FULL,VK,1
24885.22,76.7,10.73,2.21,256,16777216,FULL,VK,1
24885.72,85.7,9.80,1.77,256,16777216,FULL,VK,1
24886.22,86.4,9.47,2.01,256,16777216,FULL,VK,1
24886.72,87.5,9.45,1.88,256,16777216,FULL,VK,1
24887.23,90.9,8.96,1.93,256,16777216,FULL,VK,1
